,0
0,792.3927612304688
1,133819.265625
2,9734.4208984375
3,546.9268188476562
4,545.7532958984375
5,279.7678527832031
6,175.0950164794922
7,100.16728210449219
8,97.14437866210938
9,103.17732238769531
10,97.26631927490234
11,97.97395324707031
12,100.21685028076172
13,98.53643798828125
14,94.68096923828125
15,85.6137924194336
16,93.39698791503906
17,96.45870971679688
18,93.83324432373047
19,94.55729675292969
20,106.97836303710938
21,106.08467864990234
22,110.7176513671875
23,103.76617431640625
24,107.34025573730469
25,103.4498519897461
26,106.00292205810547
27,100.83970642089844
28,101.00825500488281
29,108.96434020996094
30,111.12843322753906
31,115.02596282958984
32,115.0167465209961
33,113.13219451904297
34,113.11761474609375
35,113.1021728515625
36,113.08592224121094
37,110.09465026855469
38,107.80696868896484
39,113.0400390625
40,113.02474212646484
41,108.74302673339844
42,110.07908630371094
43,112.98614501953125
44,108.93402099609375
45,112.96663665771484
46,100.67501831054688
47,109.37834167480469
48,112.94607543945312
49,111.68215942382812
50,105.3984603881836
51,112.93243408203125
52,98.11984252929688
53,107.02852630615234
54,113.59123992919922
55,113.78450775146484
56,109.5959701538086
57,101.80672454833984
58,110.55349731445312
59,110.54304504394531
60,110.53036499023438
61,110.5156478881836
62,109.750732421875
63,103.76290130615234
64,104.36605072021484
65,110.47283172607422
66,112.01058197021484
67,110.45675659179688
68,110.44539642333984
69,102.53441619873047
70,109.92924499511719
71,110.40807342529297
72,108.02941131591797
73,105.82872009277344
74,110.3775634765625
75,109.45745849609375
76,108.45115661621094
77,110.34982299804688
78,110.33839416503906
79,110.32442474365234
80,110.30812072753906
81,110.28971862792969
82,105.95745086669922
83,110.25093841552734
84,109.00022888183594
85,106.9299545288086
86,110.19512939453125
87,102.154296875
88,110.17162322998047
89,106.86476135253906
90,110.16503143310547
91,105.48564147949219
92,104.28996276855469
93,106.372314453125
94,110.15869140625
95,110.15257263183594
96,110.1430892944336
97,110.13059997558594
98,106.45549774169922
99,110.10357666015625
100,110.08897399902344
101,110.07173156738281
102,109.47465515136719
103,110.03421020507812
104,110.01396179199219
105,111.0971908569336
106,109.9709701538086
107,108.10283660888672
108,109.92961120605469
109,109.90861511230469
110,106.43343353271484
111,107.47113037109375
112,109.85912322998047
113,107.85086059570312
114,100.03630065917969
115,109.83613586425781
116,106.68058776855469
117,104.39045715332031
118,104.37791442871094
119,101.27254486083984
120,104.3496322631836
121,104.3338851928711
122,104.31539154052734
123,104.29441833496094
124,102.50114440917969
125,104.25126647949219
126,104.22896575927734
127,104.2044906616211
128,104.17803955078125
129,104.14979553222656
130,99.15521240234375
131,104.09114837646484
132,104.06076049804688
133,104.0289306640625
134,103.9957504272461
135,103.96134948730469
136,103.92586517333984
137,103.88932800292969
138,103.70616149902344
139,103.83509826660156
140,103.80613708496094
141,103.78315734863281
142,103.75787353515625
143,103.65571594238281
144,105.84744262695312
145,103.69000244140625
146,104.18281555175781
147,103.65135192871094
148,103.63165283203125
149,103.6092529296875
150,105.9454574584961
151,103.56593322753906
152,102.90283203125
153,103.5232162475586
154,104.4959716796875
155,106.50716400146484
156,103.45994567871094
157,103.4415283203125
158,103.4201889038086
159,110.86067199707031
160,103.37464904785156
161,103.02537536621094
162,103.33992767333984
163,103.32566833496094
164,103.3080062866211
165,103.28726196289062
166,103.26373291015625
167,103.23771667480469
168,105.42623901367188
169,103.34969329833984
170,103.16009521484375
171,103.13555908203125
172,103.10856628417969
173,103.07933044433594
174,103.04801940917969
175,103.01487731933594
176,102.98004150390625
177,102.94369506835938
178,112.03959655761719
179,107.0587387084961
180,103.84981536865234
181,102.82452392578125
182,102.7987289428711
183,102.77044677734375
184,97.12747192382812
185,102.70979309082031
186,100.7845458984375
187,102.47692108154297
188,105.13796997070312
189,102.62156677246094
190,102.60286712646484
191,107.26687622070312
192,108.80977630615234
193,102.56017303466797
194,101.10628509521484
195,102.56370544433594
196,104.74342346191406
197,102.5765380859375
198,102.57804870605469
199,102.57426452636719
200,106.11100769042969
201,102.56121063232422
202,103.52001190185547
203,104.56792449951172
204,102.71591186523438
205,108.65484619140625
206,102.53744506835938
207,101.84774780273438
208,100.01464080810547
209,100.52730560302734
210,106.41002655029297
211,102.53727722167969
212,107.64988708496094
213,107.38212585449219
214,102.55633544921875
215,102.56045532226562
