,0
0,155.7340850830078
1,15461.958984375
2,835.7442016601562
3,146.29469299316406
4,43.0818977355957
5,24.14266014099121
6,22.220190048217773
7,21.188180923461914
8,20.720035552978516
9,22.180788040161133
10,22.420549392700195
11,21.38173484802246
12,23.98971176147461
13,21.667991638183594
14,23.027555465698242
15,23.875791549682617
16,23.473180770874023
17,26.159154891967773
18,22.976781845092773
19,23.495080947875977
20,23.850969314575195
21,23.77818489074707
22,22.865371704101562
23,24.843276977539062
24,22.17182731628418
25,21.86735725402832
26,23.63273811340332
27,24.08492660522461
28,22.59915542602539
29,22.682449340820312
30,24.463668823242188
31,26.547819137573242
32,24.42450523376465
33,23.758769989013672
34,22.81627082824707
35,23.07013702392578
36,23.182893753051758
37,23.011476516723633
38,22.76384162902832
39,23.0721378326416
40,21.900842666625977
41,21.924211502075195
42,21.928773880004883
43,21.79488754272461
44,21.93865966796875
45,22.311201095581055
46,22.64803123474121
47,22.846925735473633
48,23.126708984375
49,22.99167251586914
50,22.50954818725586
51,22.33570098876953
52,21.45659828186035
53,21.6463680267334
54,20.991924285888672
55,21.692380905151367
